"Format","AIM CSV File"
"Venue","Migliarino"
"Vehicle","26"
"User","Max-Samu"
"Data Source","AIM Data Logger"
"Comment","Migliaro"
"Date","03/19/16"
"Time","16:35:15"
"Sample Rate","10"
"Duration","234.757"
"Segment","Session"
"Beacon Markers","58.421, 117.550, 176.084, 234.757"
"Segment Times","0:58.421","0:59.129","0:58.534","0:58.673"

"Time","Distance","RPM","GPS_Speed","GPS_LatAcc","GPS_LonAcc",
"Time","Distance","RPM","GPS_Speed","GPS_LatAcc","GPS_LonAcc",
"sec","km","rpm","km/h","g","g",
"","","1","2","3","4",

0.000,0.000,13366.830078,107.966003,0.021899,0.385721
0.100,0.003,13527.227539,109.959999,0.011676,0.373713
0.200,0.006,13653.112305,111.666008,0.005226,0.359731
0.300,0.009,13776.855469,112.288002,0.003850,0.345709
0.400,0.012,13987.858398,112.986000,0.005698,0.331064
0.500,0.016,13632.813477,114.372002,0.011982,0.316405
0.600,0.019,12552.429688,115.870003,0.021478,0.304870
0.700,0.022,12696.689453,117.174004,0.032287,0.298395
0.800,0.025,12684.014648,117.690002,0.043746,0.297018
0.900,0.029,12886.189453,118.288002,0.055218,0.298866
1.000,0.032,12909.110352,120.750000,0.078557,0.302652
1.100,0.035,13051.084961,122.956001,0.102762,0.304602
1.200,0.039,13160.709961,124.077995,0.116987,0.300268
1.300,0.042,13259.513672,125.080002,0.125387,0.293933
1.400,0.046,13373.997070,126.080002,0.129925,0.290058
1.500,0.049,13472.704102,126.786003,0.136260,0.287484
1.600,0.053,13582.498047,127.290001,0.149503,0.284310
1.700,0.057,13699.507813,127.790001,0.171631,0.279249
1.800,0.060,13783.927734,128.290009,0.202057,0.272902
1.900,0.064,13866.783203,128.692001,0.257631,0.260907
2.000,0.067,13977.035156,130.757996,0.409276,0.235057
2.100,0.071,14049.500977,132.466003,0.601594,0.208303
2.200,0.075,14144.166992,133.186005,0.749734,0.194027
2.300,0.078,14161.892578,133.788010,0.907573,0.192497
2.400,0.082,14262.017578,134.290009,1.058134,0.172485
2.500,0.086,14292.900391,134.594009,1.102989,0.108370
2.600,0.090,14552.942383,134.894012,1.091352,0.014009
2.700,0.093,14270.893555,135.194000,1.045502,-0.112181
2.800,0.097,14271.132813,134.807999,0.982114,-0.260244
2.900,0.101,13805.356445,134.309998,0.886529,-0.462454
3.000,0.105,13600.776367,128.811996,0.664753,-0.886860
3.100,0.108,13787.222656,119.978004,0.446661,-1.283925
3.200,0.111,13693.446289,114.900002,0.328005,-1.443625
3.300,0.114,12688.175781,110.096001,0.163907,-1.437354
3.400,0.117,12907.570313,105.394005,-0.184785,-1.304128
3.500,0.120,12531.384766,102.458000,-0.431047,-1.213347
3.600,0.123,12976.308594,100.342003,-0.597069,-1.145345
3.700,0.125,12690.436523,98.242004,-0.734017,-1.079663
3.800,0.128,12169.822266,96.338005,-0.856039,-1.012769
3.900,0.131,11873.439453,94.830002,-0.989634,-0.929611
4.000,0.133,12112.099609,88.528000,-1.215285,-0.685606
4.100,0.136,12185.744141,84.675995,-1.387846,-0.422086
4.200,0.138,11706.907227,83.424004,-1.463101,-0.295016
4.300,0.140,11337.888672,82.322006,-1.498294,-0.187602
4.400,0.143,11665.732422,81.810005,-1.533334,-0.074911
4.500,0.145,11968.104492,81.603996,-1.577756,-0.018941
4.600,0.147,12073.449219,81.698006,-1.621119,0.000892
4.700,0.149,12184.517578,81.896004,-1.664457,0.003149
4.800,0.152,12320.239258,81.802002,-1.705921,-0.008056
4.900,0.154,12008.149414,81.898003,-1.748596,-0.047633
5.000,0.156,12989.393555,81.998001,-1.832519,0.008400
5.100,0.158,11968.969727,82.098000,-1.902918,0.047035
5.200,0.161,12885.660156,82.198006,-1.900572,0.044052
5.300,0.163,11895.950195,82.445007,-1.828670,0.085197
5.400,0.165,12590.936523,82.695007,-1.723524,0.162237
5.500,0.168,12465.533203,82.994003,-1.681435,0.213134
5.600,0.170,13050.796875,83.489998,-1.667503,0.243496
5.700,0.172,12976.117188,83.989998,-1.664738,0.262207
5.800,0.175,13422.413086,84.391998,-1.667185,0.265700
5.900,0.177,13369.523438,84.889999,-1.666611,0.232661
6.000,0.179,13648.397461,87.056000,-1.660977,0.225740
6.100,0.182,13825.872070,88.766006,-1.644624,0.107567
6.200,0.184,13641.399414,88.898003,-1.613063,-0.064102
6.300,0.187,12187.355469,88.312004,-1.531856,-0.295526
6.400,0.189,13491.271484,86.340004,-1.378439,-0.567497
6.500,0.192,13981.291016,83.850006,-1.206707,-0.769070
6.600,0.194,13550.003906,80.860001,-1.037752,-0.902359
6.700,0.196,13637.190430,77.664001,-0.919452,-1.007428
6.800,0.198,14164.394531,73.778008,-0.887127,-1.085093
6.900,0.200,13310.309570,69.878006,-0.971458,-1.091632
7.000,0.202,12779.690430,66.075996,-1.123090,-1.019283
7.100,0.204,12651.135742,62.765999,-1.292286,-0.896636
7.200,0.205,12473.998047,59.857998,-1.426838,-0.769873
7.300,0.207,12128.598633,57.546001,-1.505088,-0.669278
7.400,0.208,11709.096680,55.246002,-1.530365,-0.606693
7.500,0.210,11238.003906,53.043999,-1.533347,-0.557989
7.600,0.211,10768.354492,51.138000,-1.538395,-0.505805
7.700,0.213,10320.785156,49.434002,-1.561606,-0.463537
7.800,0.214,9914.318359,48.028000,-1.609545,-0.448331
7.900,0.215,9673.396484,46.432003,-1.692334,-0.449287
8.000,0.217,9533.754883,44.832001,-1.798932,-0.423080
8.100,0.218,9789.227539,43.232002,-1.888514,-0.344473
8.200,0.219,9921.389648,42.318001,-1.932770,-0.261060
