"regime","velocità","potenza","coppia","temp.head","temp.cool","temp.exh","lambda"
"rpm","m/s","CV","N*m","-","-","-","-"
8300,42.4230629150436,6.07019855597009,5.13519900282738,0,0,0,0
8400,43.6008308022811,5.80543165328697,4.85274760715744,0,0,0,0
8500,43.8661748265128,5.84339128750515,4.82701353543197,0,0,0,0
8600,42.1272852889792,5.86501019058896,4.78853640449678,0,0,0,0
8700,43.0317974080005,5.86903300888168,4.73674246720598,0,0,0,0
8800,44.5036812658378,6.00071527804627,4.78798545415167,0,0,0,0
8900,46.3251039936753,6.06736128534973,4.78676738311866,0,0,0,0
9000,50.3163702179282,7.04802926365269,5.49867008022871,0,0,0,0
9100,49.8174990146976,7.67210719559429,5.91978240518615,0,0,0,0
9200,50.2375533913382,8.27162057960323,6.31299218010471,0,0,0,0
9300,50.5524707559654,8.85453619561076,6.68521444173414,0,0,0,0
9400,49.925436287097,9.58397606452928,7.15896666995109,0,0,0,0
9500,48.7363046606418,10.4558306298946,7.72800524247389,0,0,0,0
9600,49.2166059874328,11.3587155291856,8.30788475939594,0,0,0,0
9700,51.6440648719233,12.3242394052256,8.92115049055298,0,0,0,0
9800,53.3408808313024,13.3655747087511,9.57621825703075,0,0,0,0
9900,54.1883121686637,14.4231244562313,10.2295523709395,0,0,0,0
10000,56.4565997584191,15.3181502714832,10.7557029473427,0,0,0,0
10100,57.2386732920128,16.1769726792047,11.2462660140855,0,0,0,0
10200,58.5099141790227,17.053446271175,11.7393610329133,0,0,0,0
10300,57.4741674442315,18.0216968757798,12.2854460623249,0,0,0,0
10400,57.1207219034535,18.9186245050522,12.7728758758987,0,0,0,0
10500,60.3802174145828,19.7502781448509,13.2073714041716,0,0,0,0
10600,63.1095667214878,20.6872866572573,13.7034569811106,0,0,0,0
10700,61.8961171821974,21.787934413917,14.2976530857762,0,0,0,0
10800,61.2939440397095,22.7271502461557,14.7758917649831,0,0,0,0
10900,61.8568160348305,23.6676840440751,15.2462044272196,0,0,0,0
11000,62.7002725880657,24.6329834472282,15.7237743799219,0,0,0,0
11100,64.2675180714199,25.5956776184382,16.191091473613,0,0,0,0
11200,65.8751721008824,26.6024498723522,16.6776971988152,0,0,0,0
11300,66.6777443970253,27.62262624837,17.1640194245498,0,0,0,0
11400,66.1104743214477,28.7561402879076,17.7116171480824,0,0,0,0
11500,71.3253353467564,30.0559534670053,18.3512285049126,0,0,0,0
11600,82.6774672237482,31.5253390892069,19.0824551801296,0,0,0,0
11700,86.2990344309752,32.974893385003,19.7892808452167,0,0,0,0
11800,83.835261466348,34.3160557082457,20.419628215544,0,0,0,0
11900,90.8766273107202,35.7131528546571,21.0723856038623,0,0,0,0
12000,95.325544811511,37.1968796730768,21.7649531895758,0,0,0,0
12100,97.1542364006655,38.6099615142561,22.405078612962,0,0,0,0
12200,102.702321593185,39.8804623017343,22.9526496194949,0,0,0,0
12300,107.340810628641,41.0811902439714,23.451486712434,0,0,0,0
12400,114.294692044153,42.1624172026136,23.8746102128749,0,0,0,0
12500,125.738581392697,43.1116074831244,24.2167956549769,0,0,0,0
12600,128.690859856011,43.8629145566088,24.4432761558184,0,0,0,0
12700,127.846247085811,44.460335800387,24.5811100538113,0,0,0,0
12800,123.814377743358,45.1387685223816,24.7612297865965,0,0,0,0
12900,119.410277715521,45.7646793303975,24.9099689960611,0,0,0,0
13000,115.715694980499,46.1902861856116,24.9482320224074,0,0,0,0
13100,122.570737831956,46.7724276737712,25.0698127459211,0,0,0,0
13200,131.885534706443,47.6187636040466,25.3300855999614,0,0,0,0
13300,137.310098737896,48.2070370121961,25.4502042203836,0,0,0,0
13400,134.462008616341,48.5195748002609,25.4240457622206,0,0,0,0
13500,130.481087304496,48.3747774328172,25.1604083313828,0,0,0,0
13600,123.683244290141,47.7295961381444,24.6423047918432,0,0,0,0
13700,119.066753013598,46.540202209007,23.8528442487972,0,0,0,0
13800,116.173756013243,44.8932194769894,22.8420006108447,0,0,0,0
13900,125.791371410335,42.9325715099969,21.6872544714207,0,0,0,0
14000,132.739568973392,40.7554153596773,20.4404174755966,0,0,0,0
14100,139.120572516398,38.4688406027895,19.1567776500255,0,0,0,0
14200,139.06690491538,36.1529401362959,17.8767164353673,0,0,0,0
14300,138.830264480357,33.817176390894,16.6048049692143,0,0,0,0
14400,122.268970156309,29.0312583601967,14.1558464221912,0,0,0,0
14500,103.875483103691,26.3717727048037,12.7703792618624,0,0,0,0
14600,72.181164710052,20.6293131087587,9.92120413129346,0,0,0,0
14700,65.054721055225,18.4430965732722,8.80945373816766,0,0,0,0
14800,57.9282774003981,16.6647013460287,7.90620904522247,0,0,0,0
14900,50.8018337455711,15.3452398082018,7.23135837467185,0,0,0,0
